STT,Tên Test Case,Phân hệ,Các bước thực hiện,Kết quả mong muốn,Kết quả thực tế,Trạng thái,File minh chứng
TC01,"Đăng nhập hệ thống đa vai trò (Khách hàng, Tài xế, Quản trị viên)",Xác thực (Auth),"1. Mở ứng dụng GoDrop.
2. Nhập SĐT và mật khẩu hợp lệ.
3. Nhấn nút 'Đăng nhập'.","Xác thực thành công, nhận JWT token và điều hướng chính xác vào màn hình chính tương ứng với vai trò của tài khoản.","Đăng nhập thành công, điều hướng mượt mà, phân quyền chính xác cho cả 3 vai trò (Client, Driver, Admin).",Ổn định,TC01_DangNhap_HeThong.png
TC02,Khách hàng - Hiển thị Trang chủ & Thống kê đơn hàng,Khách hàng (Client),"1. Đăng nhập tài khoản Client (0123456789).
2. Quan sát Trang chủ.","Hiển thị lời chào cá nhân hóa, nút tạo đơn nhanh, thống kê số lượng đơn đang xử lý và đã hoàn tất.","Hiển thị đầy đủ lời chào 'Nguyễn Văn A', banner tạo đơn, thẻ 'Đang xử lý: 02' và 'Đã hoàn tất: 02'.",Ổn định,TC02_KhachHang_TrangChu.png
TC03,Khách hàng - Xem Danh sách Đơn hàng của tôi,Khách hàng (Client),1. Nhấn tab 'Đơn hàng' trên thanh điều hướng dưới đáy màn hình.,"Hiển thị toàn bộ danh sách đơn hàng đã tạo kèm mã đơn, trạng thái, người nhận và cước phí.","Tải danh sách đơn hàng từ Backend MongoDB chính xác, hiển thị đầy đủ thông tin từng đơn.",Ổn định,TC03_KhachHang_DanhSachDonHang.png
TC04,Khách hàng - Theo dõi tiến trình đơn hàng trực tiếp,Khách hàng (Client),1. Nhấn tab 'Theo dõi' hoặc chọn đơn hàng đang giao.,Hiển thị chi tiết từng chặng trạng thái đơn hàng (Đã tạo -> Đã nhận -> Đang lấy hàng -> Đang giao -> Hoàn tất).,Giao diện hiển thị trực quan các bước tiến trình giao nhận không cần bản đồ nhúng/GPS.,Ổn định,TC04_KhachHang_TheoDoiDonHang.png
TC05,Tài xế - Bảng điều khiển & Trạng thái làm việc,Tài xế (Driver),"1. Đăng nhập tài khoản Tài xế (0444555666).
2. Kiểm tra thông tin chuyến giao hiện tại, thu nhập và nút chuyển trạng thái.","Hiển thị chuyến giao active, thu nhập trong ngày, điểm tin cậy (100.0/100) và toggle trạng thái (Sẵn sàng / Tạm nghỉ).","Hiển thị chuyến giao #GD-9 (17 Nguyễn Huệ, 77.500 đ), số liệu thu nhập và nút đổi trạng thái hoạt động chuẩn xác.",Ổn định,TC05_TaiXe_BangDieuKhien.png
TC06,Tài xế - Danh sách Đơn đang chờ nhận,Tài xế (Driver),1. Nhấn tab 'Đơn chờ' trên thanh điều hướng.,Hiển thị danh sách các đơn hàng mới đang chờ tài xế tiếp nhận với đầy đủ địa chỉ lấy/giao và tiền cước.,"Tải 06 đơn hàng khả dụng từ hệ thống, nút nhận đơn phản hồi tốt.",Ổn định,TC06_TaiXe_DonChoNhan.png
TC07,Tài xế - Danh sách Đơn đang giao & Cập nhật trạng thái,Tài xế (Driver),"1. Nhấn tab 'Đang giao'.
2. Xem các đơn đã nhận và chuẩn bị cập nhật tiến trình.",Hiển thị danh sách đơn hàng tài xế đang phụ trách giao kèm các nút thao tác nhanh.,"Hiển thị đơn hàng đang xử lý với thông tin chi tiết, thao tác chuyển trạng thái đơn mượt mà.",Ổn định,TC07_TaiXe_DonDangGiao.png
TC08,Quản trị viên - Tổng quan số liệu toàn hệ thống,Quản trị viên (Admin),"1. Đăng nhập tài khoản Admin (0000000000).
2. Quan sát Dashboard trung tâm quản trị.","Hiển thị tổng số đơn hàng, tổng số tài khoản người dùng, số lượng tài xế và cảnh báo vi phạm.","Thống kê chính xác: 21 đơn hàng, 13 tài khoản, 7 tài xế, 7 cảnh báo từ MongoDB.",Ổn định,TC08_Admin_TongQuanHeThong.png
TC09,Quản trị viên - Quản lý toàn bộ Đơn hàng,Quản trị viên (Admin),1. Nhấn tab 'Đơn hàng' trong phân hệ Admin.,Hiển thị danh sách toàn bộ 21 đơn hàng trong hệ thống kèm bộ lọc trạng thái.,"Danh sách đơn tải đầy đủ, phân loại trạng thái rõ ràng, cuộn mượt mà.",Ổn định,TC09_Admin_QuanLyDonHang.png
TC10,Quản trị viên - Quản lý Người dùng hệ thống,Quản trị viên (Admin),1. Nhấn tab 'Người dùng'.,"Hiển thị danh sách khách hàng và quản trị viên, phân biệt vai trò rõ ràng.",Hiển thị danh sách 5 khách hàng và 1 quản trị viên với thông tin liên lạc và trạng thái tài khoản.,Ổn định,TC10_Admin_QuanLyNguoiDung.png
TC11,Quản trị viên - Giám sát & Quản lý Tài xế,Quản trị viên (Admin),1. Nhấn tab 'Tài xế'.,"Hiển thị danh sách 7 tài xế, trạng thái hoạt động (Online/Offline) và điểm tin cậy (Trust score).","Hiển thị đầy đủ danh sách 7 tài xế kèm số điện thoại, điểm tin cậy và trạng thái làm việc.",Ổn định,TC11_Admin_QuanLyTaiXe.png
TC12,Quản trị viên - Quản lý Cảnh báo & Vi phạm,Quản trị viên (Admin),1. Nhấn tab 'Cảnh báo'.,Hiển thị các trường hợp tài xế bị đánh giá điểm tin cậy thấp hoặc có cảnh báo cần kiểm tra.,Hiển thị danh sách 7 cảnh báo hệ thống giúp quản trị viên xử lý kịp thời.,Ổn định,TC12_Admin_CanhBaoViPham.png
